idCarrito,idUsuario,nombreProducto,precioProducto
1,5,Laptop,899.99
1,5,Auriculares,129.99
1,5,Auriculares,129.99
1,5,Smartphone,499.5
1,5,Smartphone,499.5
1,5,Smartphone,499.5
1,5,Mouse,59.99
1,5,Mouse,59.99
1,5,Mouse,59.99
1,5,Mouse,59.99
1,5,Tablet,299.99
1,5,Tablet,299.99
1,5,Tablet,299.99
1,5,Tablet,299.99
1,5,Tablet,299.99
1,5,Tablet,299.99
1,5,Smartwatch,199.99
1,5,Smartwatch,199.99
1,5,Smartwatch,199.99
1,5,Smartwatch,199.99
1,5,Smartwatch,199.99
1,5,Smartwatch,199.99
1,5,Smartwatch,199.99
1,5,Smartwatch,199.99
1,5,Smartwatch,199.99
1,5,Smartwatch,199.99
1,5,Smartwatch,199.99
1,5,Smartwatch,199.99
